,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
2679,0.703,0.706,8,-10.637,0.0302,0.233,0.00109,0.585,0.766,131.067,251507,26462997,167082,8646,39411843
2680,0.583,0.891,9,-4.565,0.0345,0.00088,0.000163,0.103,0.814,136.794,229267,23751845,111190,6606,17532257
2681,0.742,0.642,5,-4.137,0.0283,0.163,0,0.14,0.762,97.055,178676,22280,565,0,224394
2682,0.711,0.885,1,-5.193,0.0389,0.16,5.90E-05,0.0752,0.947,139.402,218333,395119,5513,177,28447124
2683,0.594,0.883,6,-4.013,0.0375,0.0186,6.14E-05,0.331,0.706,120.465,305560,19305047,88785,4739,9193008
2684,0.706,0.847,1,-6.134,0.0831,0.226,0.000104,0.0632,0.495,119.768,264773,11758026,77042,3241,6279508
2685,0.739,0.745,7,-6.658,0.0267,0.21,0.0135,0.127,0.949,109.326,277653,250740290,784931,22620,306003111
2686,0.461,0.715,4,-6.246,0.0281,0.458,1.56E-05,0.719,0.455,86.09,212560,1902044,16474,119,139132047
2687,0.591,0.777,9,-6.307,0.0401,0.494,0,0.383,0.621,123.264,261627,10834502,26352,685,67205627
2688,0.532,0.884,7,-4.941,0.0398,0.148,6.76E-06,0.154,0.781,128.074,235560,16501602,42244,984,81472991
2689,0.703,0.575,7,-8.675,0.049,0.075,0,0.128,0.829,100.402,167560,58146682,218836,4894,56593196
2690,0.647,0.853,4,-7.075,0.0286,0.225,0.00505,0.261,0.781,108.698,217373,36836810,114144,3732,43160639
2691,0.63,0.765,0,-4.655,0.0253,0.406,3.21E-06,0.107,0.522,103.982,204627,46859436,142606,5132,
2692,0.672,0.865,7,-5.309,0.0273,0.0243,0,0.079,0.898,119.992,173320,12685107,34388,1136,12364133
2693,0.55,0.413,9,-9.489,0.0269,0.359,0.000102,0.118,0.401,124.918,264840,5700782,25313,816,45213507
2694,0.649,0.376,4,-7.528,0.039,0.0626,2.72E-05,0.0911,0.434,97.848,203507,8464880,128106,3727,26421597
2695,0.911,0.551,8,-3.75,0.0449,0.132,4.12E-05,0.0863,0.969,92.887,265867,414588236,2079943,31831,319662226
2696,0.726,0.7,2,-5.881,0.0998,0.0717,0,0.262,0.673,146.559,246333,52677,856,7,162374584
2697,0.694,0.674,0,-4.991,0.164,0.202,1.22E-05,0.138,0.46,143.067,241867,154321279,894538,19129,35251079
2698,0.344,0.874,0,-3.161,0.0777,0.0841,0,0.129,0.269,185.888,260467,194177739,692197,21084,72692874
